ID	DOCULECT	CONCEPT	IPA
814	ACHANG	water	ti
815	NAXI	water	dʲi
816	BURMESE	mountain	tauŋ
817	ZAIWA	mountain	pum
818	AKHA	mountain	ɡodʲo
819	BIYUE	mountain	jumo
820	MPI	mountain	opʲo
821	BISU	mountain	tasɛ
822	JINO	mountain	xə_tʰa
823	LAHU	mountain	qʰo
824	XIDE	mountain	bo
825	DAFANG	mountain	bə
826	NANJIANG	mountain	kʰud͡ʒə
827	LISU	mountain	ko
828	NUSU	mountain	ɲua
829	ACHANG	mountain	pum
830	NAXI	mountain	ko
831	BURMESE	sun	nij
832	ZAIWA	sun	pui
833	AKHA	sun	naŋma
834	BIYUE	sun	ɲimo
835	MPI	sun	ɲiwo
836	BISU	sun	muŋhnəŋ
837	JINO	sun	ɲə_o
838	LAHU	sun	mini
839	XIDE	sun	hobu
840	DAFANG	sun	ⁿdʲj
841	NANJIANG	sun	amuxə
842	LISU	sun	məmi
843	NUSU	sun	ɲia
844	ACHANG	sun	nimo
845	NAXI	sun	ɲime
846	BURMESE	star	kraj
847	ZAIWA	star	kʲi
848	AKHA	star	aɡʲ
849	BIYUE	star	mit͡si
850	MPI	star	piki
851	BISU	star	əkə
852	JINO	star	pu_ki
853	LAHU	star	məʔkə
854	XIDE	star	mt͡sə
855	DAFANG	star	t͡samo
856	NANJIANG	star	t͡se
857	LISU	star	komaze
858	NUSU	star	krelo
859	ACHANG	star	kʰʒe
860	NAXI	star	kə
861	BURMESE	one	tac
862	ZAIWA	one	ʒa
863	AKHA	one	titʰi
864	BIYUE	one	tʰə
865	MPI	one	tʰəʔ
866	BISU	one	tə
867	JINO	one	tʰi
868	LAHU	one	te
869	XIDE	one	t͡sʰə
870	DAFANG	one	tʰa
871	NANJIANG	one	t͡ʃʰə
872	LISU	one	tʰi
873	NUSU	one	tʰi
874	ACHANG	one	ta
875	NAXI	one	də
876	BURMESE	two	hnac
877	AKHA	two	ⁿʲi
878	BIYUE	two	neʔ
879	MPI	two	ɲi
880	BISU	two	ni
881	JINO	two	ni
882	LAHU	two	ni
883	XIDE	two	ɲi
884	DAFANG	two	ɲi
885	LISU	two	ɲi
886	ACHANG	two	sək
887	NAXI	two	ɲi
888	BURMESE	stone	kʲauk
889	ZAIWA	stone	lukoʔ
890	AKHA	stone	xʰalo
891	BIYUE	stone	lvʔmo
892	MPI	stone	soloʔ
893	BISU	stone	loba
894	JINO	stone	lo_mo
895	LAHU	stone	xapə
896	XIDE	stone	luma
897	DAFANG	stone	lomo
898	NANJIANG	stone	kalo
899	LISU	stone	lot͡sʰə
900	NUSU	stone	luʔ
901	ACHANG	stone	liŋkoʔ
902	NAXI	stone	lvpa
903	BURMESE	skin	are
904	ZAIWA	skin	ʃokuʔ
905	AKHA	skin	baxoʔ
906	BIYUE	skin	ot͡si
907	MPI	skin	okʰo
908	BISU	skin	aŋkho
909	JINO	skin	a_kʰo
910	LAHU	skin	oɡə
911	XIDE	skin	ⁿdʲiʃə
912	DAFANG	skin	ndʲi
913	NANJIANG	skin	dət͡ʃu
914	LISU	skin	kod͡ʒi
915	NUSU	skin	kʰuri
916	ACHANG	skin	aʒə
917	NAXI	skin	xə
918	BURMESE	fire	mi
919	ZAIWA	fire	mʲə
920	AKHA	fire	mit͡sa
921	BIYUE	fire	mit͡so
922	MPI	fire	mi
923	BISU	fire	bitʰo
924	JINO	fire	mi
925	LAHU	fire	ami
926	XIDE	fire	mtu
927	DAFANG	fire	mto
928	NANJIANG	fire	ato
929	LISU	fire	ato
930	NUSU	fire	mi
931	NAXI	fire	mi
932	BURMESE	fish	ŋa
933	ZAIWA	fish	ŋot͡so
934	AKHA	fish	ŋasʲʰa
935	BIYUE	fish	ŋoso
936	MPI	fish	ŋo
937	BISU	fish	loŋtɛ
938	JINO	fish	ŋʰo_ʃo
939	LAHU	fish	ŋa
940	XIDE	fish	hə
941	DAFANG	fish	ŋo
942	LISU	fish	ŋua
943	NUSU	fish	ŋa
944	ACHANG	fish	ŋaʃua
945	BURMESE	dog	kʰʷe
946	ZAIWA	dog	kʰui
947	AKHA	dog	aʔkʰʲ
948	BIYUE	dog	kʰə
949	MPI	dog	kʰə
950	BISU	dog	kʰə
951	JINO	dog	kʰə_jo
952	LAHU	dog	pʰə
953	XIDE	dog	kʰə
954	DAFANG	dog	t͡sʰj
955	NANJIANG	dog	akʰə
956	LISU	dog	ana
957	NUSU	dog	kʰui
958	ACHANG	dog	xui
959	NAXI	dog	kʰə
960	BURMESE	louse	san
961	ZAIWA	louse	ʃin
962	AKHA	louse	sʰɛmo
963	BIYUE	louse	sepʰv
964	MPI	louse	se
965	BISU	louse	hmoŋ
966	JINO	louse	ʃi_pʰru
967	LAHU	louse	se
968	XIDE	louse	t͡sʰoʃə
969	DAFANG	louse	simo
970	NANJIANG	louse	si
971	LISU	louse	xə
972	NUSU	louse	ʃa
973	ACHANG	louse	ʃan
974	NAXI	louse	ʃu
975	BURMESE	tree	satpaŋ
976	ZAIWA	tree	sik
977	AKHA	tree	abo
978	BIYUE	tree	sət͡sə
979	MPI	tree	sotə
980	BISU	tree	t͡səŋt͡səŋ
981	JINO	tree	a_t͡sə
982	LAHU	tree	səʔ
983	XIDE	tree	səbo
984	DAFANG	tree	se
985	NANJIANG	tree	sət͡səʔ
986	LISU	tree	sət͡sə
987	NUSU	tree	sit͡sə̃
988	ACHANG	tree	saŋt͡seŋ
989	NAXI	tree	ⁿt͡sər
990	BURMESE	leaf	sacrʷak
991	ZAIWA	leaf	axaʔ
992	AKHA	leaf	apa
993	BIYUE	leaf	apʰaʔ
994	MPI	leaf	opʰaʔ
995	BISU	leaf	aŋpʰa
996	JINO	leaf	a_pʰa
997	LAHU	leaf	opʰaʔ
998	XIDE	leaf	t͡sʰit͡sʰi
999	DAFANG	leaf	setʰu
1000	NANJIANG	leaf	səpʰiʔ
1001	LISU	leaf	epʰia
1002	NUSU	leaf	pʰaʟa
1003	ACHANG	leaf	axroʔ
1004	NAXI	leaf	pʰiə
1005	BURMESE	night	ɲa
1006	ZAIWA	night	mʲinle
1007	AKHA	night	uʔtʲiʔ
1008	BIYUE	night	mekʰeʔ
1009	MPI	night	uŋkʰʷiʔ
1010	BISU	night	muŋkʰi
1011	JINO	night	mʰe_kʰa
1012	LAHU	night	takʰə
1013	XIDE	night	kʰətʰəmo
1014	DAFANG	night	səpiha
1015	NANJIANG	night	mikʰəsi
1016	LISU	night	sakʰua
1017	NUSU	night	suana
1018	ACHANG	night	nit͡sʰot
1019	NAXI	night	mvkʰv
1020	BURMESE	blood	sʷe
1021	ZAIWA	blood	sui
1022	AKHA	blood	sʲhi
1023	BIYUE	blood	osi
1024	MPI	blood	si
1025	BISU	blood	ʃi
1026	JINO	blood	ʃi
1027	LAHU	blood	osə
1028	XIDE	blood	sə
1029	DAFANG	blood	si
1030	NANJIANG	blood	sə
1031	LISU	blood	sə
1032	NUSU	blood	sui
1033	ACHANG	blood	sui
1034	NAXI	blood	sa
1035	BURMESE	full	praɲ
1036	ZAIWA	full	pʲiŋ
1037	BIYUE	full	pə
1038	MPI	full	pʲə
1039	BISU	full	aŋpləŋ
1040	JINO	full	prə
1041	LAHU	full	bə
1042	XIDE	full	dʲi
1043	DAFANG	full	die
1044	NANJIANG	full	t͡sə
1045	LISU	full	bile
1046	NUSU	full	bə̃
1047	ACHANG	full	pʒəŋ
1048	NAXI	full	ʃər
1049	BURMESE	new	sat
1050	ZAIWA	new	asik
1051	AKHA	new	sd͡ʒjʔ
1052	BIYUE	new	asə
1053	MPI	new	səʔ
1054	BISU	new	aŋʃə
1055	JINO	new	ʃi
1056	LAHU	new	osə
1057	XIDE	new	aʃəʔ
1058	DAFANG	new	xe
1059	NANJIANG	new	xəʔ
1060	LISU	new	eʃə
1061	NUSU	new	dʲo
1062	ACHANG	new	ʃək
1063	NAXI	new	ʃə
1064	BURMESE	we	kʲʷantautui
1065	ZAIWA	we	ŋamo
1066	BIYUE	we	ŋov
1067	BISU	we	ɡu
1068	JINO	we	ŋa_vu
1069	LAHU	we	ŋaxə
1070	XIDE	we	ŋoxo
1071	DAFANG	we	ŋoxə
1072	LISU	we	ŋuanu
1073	NUSU	we	ŋadə
1074	ACHANG	we	ŋotuʔ
1075	NAXI	we	ŋəŋɡə
1076	BURMESE	horn	kʰʲui
1077	ZAIWA	horn	kʰʲui
1078	AKHA	horn	uʔtʲe
1079	BIYUE	horn	vt͡sʰi
1080	MPI	horn	ŋkʰui
1081	BISU	horn	aŋkʰʲaw
1082	JINO	horn	vu_kʰi
1083	LAHU	horn	kʰo
1084	XIDE	horn	ofu
1085	DAFANG	horn	ot͡sʰi
1086	NANJIANG	horn	kʰu
1087	LISU	horn	ot͡ʃʰə
1088	NUSU	horn	kʰrəa
1089	ACHANG	horn	kʰʒau
1090	NAXI	horn	kʰo
1091	BURMESE	name	amaɲ
1092	ZAIWA	name	ⁿʲiŋ
1093	AKHA	name	tʲʰɛmʲaŋ
1094	BIYUE	name	omi
1095	MPI	name	mmi
1096	BISU	name	aŋhmɛŋ
1097	JINO	name	a_mʰe
1098	LAHU	name	omɛ
1099	XIDE	name	hmi
1100	DAFANG	name	mie
1101	NANJIANG	name	mĩt͡sə
1102	LISU	name	emi
1103	NUSU	name	hmẽ
1104	ACHANG	name	aɲiŋ
1105	NAXI	name	mi
1106	BURMESE	ear	na
1107	ZAIWA	ear	nopʰʲo
1108	AKHA	ear	nabo
1109	BIYUE	ear	nopu
1110	MPI	ear	mpʰa
1111	BISU	ear	nasəŋ
1112	JINO	ear	ⁿʰa_kʰo
1113	LAHU	ear	napo
1114	XIDE	ear	hnəpo
1115	DAFANG	ear	lopo
1116	NANJIANG	ear	napu
1117	LISU	ear	nopo
1118	NUSU	ear	hnasʰə̃
1119	ACHANG	ear	nit͡ʃua
1120	NAXI	ear	xɛt͡sə
1121	BURMESE	eye	mʲakci
1122	ZAIWA	eye	mʲot͡ʃi
1123	AKHA	eye	mʲaⁿʲʔ
1124	BIYUE	eye	mat͡səʔ
1125	MPI	eye	ɲt͡sʰo
1126	BISU	eye	mɛnə
1127	JINO	eye	mʲa_t͡si
1128	LAHU	eye	mesi
1129	XIDE	eye	ɲot͡sə
1130	DAFANG	eye	nadu
1131	NANJIANG	eye	mise
1132	LISU	eye	miɛsə
1133	NUSU	eye	miadʲi
1134	ACHANG	eye	ɲot͡siʔ
1135	NAXI	eye	miəlv
1136	BURMESE	nose	hnakʰauŋ
1137	ZAIWA	nose	noʔ
1138	AKHA	nose	namɛ
1139	BIYUE	nose	name
1140	MPI	nose	ŋkʰoŋ
1141	BISU	nose	nakʰaŋ
1142	JINO	nose	ⁿʰo_to
1143	LAHU	nose	naqʰo
1144	XIDE	nose	hnabi
1145	DAFANG	nose	nomo
1146	NANJIANG	nose	nokʰu
1147	LISU	nose	nakʰu
1148	NUSU	nose	hnakã
1149	ACHANG	nose	nixoŋ
1150	NAXI	nose	ɲimər
1151	BURMESE	tooth	sʷa
1152	ZAIWA	tooth	t͡sui
1153	AKHA	tooth	sʰə
1154	BIYUE	tooth	ot͡sə
1155	MPI	tooth	oso
1156	BISU	tooth	sopʰe
1157	JINO	tooth	t͡ʃʲi
1158	LAHU	tooth	t͡si
1159	XIDE	tooth	d͡ʒə
1160	DAFANG	tooth	t͡səmo
1161	NANJIANG	tooth	sj
1162	LISU	tooth	sət͡ʃʰi
1163	NUSU	tooth	sʰua
1164	ACHANG	tooth	t͡soi
1165	NAXI	tooth	xə
1166	BURMESE	tongue	hlʲa
1167	ZAIWA	tongue	ʃo
1168	AKHA	tongue	mela
1169	BIYUE	tongue	ala
1170	MPI	tongue	olo
1171	BISU	tongue	manhla
1172	JINO	tongue	a_ʟo
1173	LAHU	tongue	xate
1174	XIDE	tongue	hane
1175	DAFANG	tongue	ʟo
1176	NANJIANG	tongue	la
1177	LISU	tongue	lat͡ʃʰə
1178	NUSU	tongue	fra
1179	ACHANG	tongue	so
1180	BURMESE	person	lu
1181	AKHA	person	t͡sʰoha
1182	BIYUE	person	t͡sʰu
1183	MPI	person	t͡sʰoŋ
1184	BISU	person	t͡sʰaŋ
1185	JINO	person	t͡sʰə_zo
1186	LAHU	person	t͡sʰo
1187	XIDE	person	t͡sʰo
1188	DAFANG	person	t͡sʰo
1189	NANJIANG	person	t͡sʰu
1190	LISU	person	t͡sʰoza
1191	NUSU	person	su
1192	ACHANG	person	t͡ʃo
1193	NAXI	person	si
1194	BURMESE	knee	du
1195	ZAIWA	knee	kʰʲipʰut
1196	AKHA	knee	kʰʲt͡sʲʔ
1197	MPI	knee	ŋkoŋ
1198	BISU	knee	pato
1199	JINO	knee	pʰə
1200	LAHU	knee	kʰət͡səqi
1201	XIDE	knee	bacəʔ
1202	ACHANG	knee	t͡sʰiɲoʔ
1203	BURMESE	hand	lak
1204	ZAIWA	hand	loʔ
1205	AKHA	hand	laʔ
1206	BIYUE	hand	alaʔ
1207	MPI	hand	lopʰu
1208	BISU	hand	lapo
1209	JINO	hand	la_pu
1210	LAHU	hand	laʔsɛ
1211	XIDE	hand	lo
1212	DAFANG	hand	la
1213	NANJIANG	hand	lipʰiʔ
1214	LISU	hand	lɛpʰɛ
1215	NUSU	hand	laʔ
1216	ACHANG	hand	loʔ
1217	NAXI	hand	lo
1218	BURMESE	liver	asaɲ
1219	ZAIWA	liver	siŋ
1220	AKHA	liver	sʰat͡sʰaŋ
1221	BIYUE	liver	ot͡sʰə
1222	MPI	liver	otʰə
1223	BISU	liver	aŋt͡sʰin
1224	JINO	liver	a_t͡sʰə
1225	LAHU	liver	ose
1226	XIDE	liver	si
1227	DAFANG	liver	sə
1228	NANJIANG	liver	t͡səsə
1229	LISU	liver	sə
1230	NUSU	liver	t͡sʰə̃
1231	ACHANG	liver	aʃəŋ
1232	NAXI	liver	sər
1233	BURMESE	drink	suak
1234	ZAIWA	drink	ʃuʔ
1235	AKHA	drink	do
1236	BIYUE	drink	tu
1237	MPI	drink	toŋ
1238	BISU	drink	taŋ
1239	JINO	drink	tə
1240	LAHU	drink	do
1241	XIDE	drink	ⁿdo
1242	DAFANG	drink	ⁿdo
1243	NANJIANG	drink	du
1244	LISU	drink	do
1245	NUSU	drink	sʰuʔ
1246	ACHANG	drink	ʃoʔ
1247	NAXI	drink	tʰə
1248	BURMESE	thou	caŋ
1249	ZAIWA	thou	naŋ
1250	AKHA	thou	no
1251	BIYUE	thou	nv
1252	MPI	thou	noŋ
1253	BISU	thou	naŋ
1254	JINO	thou	nə
1255	LAHU	thou	no
1256	XIDE	thou	nə
1257	DAFANG	thou	na
1258	LISU	thou	nu
1259	NUSU	thou	ɲo
1260	ACHANG	thou	nuaŋ
1261	NAXI	thou	nv
1262	BURMESE	see	mraŋ
1263	ZAIWA	see	vu
1264	AKHA	see	mo
1265	BIYUE	see	te
1266	MPI	see	mʲoŋ
1267	BISU	see	hmʲaŋ
1268	JINO	see	mʲə
1269	LAHU	see	ni
1270	XIDE	see	hə
1271	DAFANG	see	na
1272	LISU	see	ɲi
1273	NUSU	see	ru
1274	ACHANG	see	en
1275	NAXI	see	lj
1276	BURMESE	hear	kra
1277	ZAIWA	hear	kʲo
1278	AKHA	hear	ɡa
1279	BIYUE	hear	nate
1280	MPI	hear	kʲo
1281	BISU	hear	kʲa
1282	JINO	hear	ⁿʰo_to
1283	LAHU	hear	na
1284	XIDE	hear	hna
1285	DAFANG	hear	dʲu
1286	NANJIANG	hear	ne
1287	LISU	hear	nalo
1288	NUSU	hear	hna
1289	ACHANG	hear	kʒua
1290	NAXI	hear	kʰomi
1291	BURMESE	bone	arui
1292	ZAIWA	bone	ʃovui
1293	AKHA	bone	sʰaje
1294	BIYUE	bone	oji
1295	MPI	bone	oʔə
1296	BISU	bone	aŋɡaw
1297	JINO	bone	ʃo_xə
1298	LAHU	bone	omiʔki
1299	XIDE	bone	vudu
1300	DAFANG	bone	xoxə
1301	NANJIANG	bone	uda
1302	LISU	bone	oto
1303	NUSU	bone	rə
1304	ACHANG	bone	aʒau
1305	NAXI	bone	ʃolo
1306	BURMESE	die	sij
1307	ZAIWA	die	ʃi
1308	AKHA	die	sʲʰi
1309	BIYUE	die	sə
1310	MPI	die	si
1311	BISU	die	ʃi
1312	JINO	die	ʃi
1313	LAHU	die	sə
1314	XIDE	die	sə
1315	DAFANG	die	si
1316	NANJIANG	die	xə
1317	LISU	die	ʃə
1318	NUSU	die	si
1319	ACHANG	die	sa
1320	NAXI	die	ʃə
1321	BURMESE	road (path)	lam
1322	ZAIWA	road (path)	kʰʲo
1323	AKHA	road (path)	ɡama
1324	BIYUE	road (path)	jamo
1325	MPI	road (path)	kokʰuŋ
1326	BISU	road (path)	kiba
1327	JINO	road (path)	jo_kʰo
1328	LAHU	road (path)	zaʔqo
1329	XIDE	road (path)	ɡamo
1330	DAFANG	road (path)	dʲo
1331	NANJIANG	road (path)	ɡoma
1332	LISU	road (path)	d͡ʒaɡu
1333	NUSU	road (path)	kʰrapʰrõ
1334	ACHANG	road (path)	xamʒua
1335	NAXI	road (path)	zəɡv
