ID	DOCULECT	ISO_CODE	CONCEPT	CONCEPTICON_ID	IPA	TOKENS	ASJP	DOLGO	SCA	COGNATE_CLASS	COGID
270	Bahnar-Golar	bdq	egg		kətap	k ə t a p	k I t a p	K V T V P	K E T A P	5	578
271	Bahnar-Kontum	bdq	egg		kətap	k ə t a p	k I t a p	K V T V P	K E T A P	5	578
272	Bahnar-Pleiku	bdq	egg		kətap	k ə t a p	k I t a p	K V T V P	K E T A P	5	578
273	Bru-Talan	oog	egg		triˀal	t r iˀa l	t r i l	T R V R	T R I L	8	580
274	Bru-Ubon	bru	egg		ntre̤ːl	n t r e̤ː l	n t r e l	N T R V R	N T R E L	8	580
275	Khmer-Surin	kxm	egg		puːaŋ	p uːa ŋ	p u N	P V N	P Y N	11	564
276	Khmer-Standard	khm	egg		pɔːŋ	p ɔː ŋ	p o N	P V N	P U N	11	564
277	Mon	mnw	egg		həmaɛ	h ə m aɛ	h I m a	H V M V	H E M A	16	569
278	Vietnamese	vie	egg		trứng	t r u n g	t r u n g	T R V N K	T R Y N K	25	577
279	Bahnar-Golar	bdq	eight		təhŋam	t ə h ŋ a m	t I h N a m	T V H N V M	T E H N A M	1	582
280	Bahnar-Kontum	bdq	eight		təhŋam	t ə h ŋ a m	t I h N a m	T V H N V M	T E H N A M	1	582
281	Bahnar-Pleiku	bdq	eight		təhŋaːm	t ə h ŋ aː m	t I h N a m	T V H N V M	T E H N A M	1	582
282	Bru-Talan	oog	eight		təkɔˀɔl	t ə k ɔˀɔ l	t I k o l	T V K V R	T E K U L	2	587
283	Bru-Ubon	bru	eight		təkṳal	t ə k ṳa l	t I k i l	T V K V R	T E K Y L	2	587
284	Khmer-Surin	kxm	eight		prambaj	p r a m b a j	p r a m b a y	P R V M P V J	P R A M P A J	5	590
285	Khmer-Standard	khm	eight		prambaj	p r a m b a j	p r a m b a y	P R V M P V J	P R A M P A J	5	590
286	Mon	mnw	eight		həcam	h ə c a m	h I T a m	H V K V M	H E C A M	9	593
287	Vietnamese	vie	eight		tám	t á m	t a m	T V M	T A M	8	592
288	Bahnar-Golar	bdq	excrement/shit		ʔic	ʔ i c	7 i T	H V K	H I C	1	594
289	Bahnar-Kontum	bdq	excrement/shit		ʔic	ʔ i c	7 i T	H V K	H I C	1	594
290	Bahnar-Pleiku	bdq	excrement/shit		ʔic	ʔ i c	7 i T	H V K	H I C	1	594
291	Bru-Talan	oog	excrement/shit		ʔɔˀɔʔ	ʔ ɔˀɔ ʔ	7 o 7	H V H	H U H	2	600
292	Bru-Ubon	bru	excrement/shit		krɛʔ	k r ɛ ʔ	k r E 7	K R V H	K R E H	4	602
293	Khmer-Surin	kxm	excrement/shit		ʔac	ʔ a c	7 a T	H V K	H A C	1	594
294	Khmer-Standard	khm	excrement/shit		ʔac	ʔ a c	7 a T	H V K	H A C	1	594
295	Mon	mnw	excrement/shit		ʔɔc	ʔ ɔ c	7 o T	H V K	H U C	1	594
296	Vietnamese	vie	excrement/shit		iả	i a	i a	V V	I A	5	603
297	Bahnar-Golar	bdq	eye		mat	m a t	m a t	M V T	M A T	1	608
298	Bahnar-Kontum	bdq	eye		mat	m a t	m a t	M V T	M A T	1	608
299	Bahnar-Pleiku	bdq	eye		mat	m a t	m a t	M V T	M A T	1	608
300	Bru-Talan	oog	eye		manʔ	m a n ʔ	m a n 7	M V N H	M A N H	1	608
301	Bru-Ubon	bru	eye		ma̤t	m a̤ t	m a t	M V T	M A T	1	608
302	Khmer-Surin	kxm	eye		pʰneːʔ	pʰ n eː ʔ	p n e 7	P N V H	P N E H	2	609
303	Khmer-Standard	khm	eye		pnɛːk	p n ɛː k	p n E k	P N V K	P N E K	2	609
304	Mon	mnw	eye		mòt	m ò t	m o t	M V T	M U T	1	608
305	Vietnamese	vie	eye		mắt	m a t	m a t	M V T	M A T	1	608
306	Bahnar-Golar	bdq	far/distant		hətɔl	h ə t ɔ l	h I t o l	H V T V R	H E T U L	30	622
307	Bahnar-Kontum	bdq	far/distant		ʔatajh	ʔ a t a j h	7 a t a y h	H V T V J H	H A T A J H	8	624
308	Bahnar-Pleiku	bdq	far/distant		ʔatajh	ʔ a t a j h	7 a t a y h	H V T V J H	H A T A J H	8	624
309	Bru-Talan	oog	far/distant		jəˀəŋ	j əˀə ŋ	y I N	J V N	J E N	11	612
310	Bru-Ubon	bru	far/distant		jɨːŋ	j ɨː ŋ	y I N	J V N	J I N	11	612
311	Khmer-Surin	kxm	far/distant		ʨhŋaːj	ʨ h ŋ aː j	C h N a y	K H N V J	C H N A J	7	623
312	Khmer-Standard	khm	far/distant		cŋaːj	c ŋ aː j	T N a y	K N V J	C N A J	7	623
313	Mon	mnw	far/distant		hòa	h òa	h o	H V	H U	7	623
314	Vietnamese	vie	far/distant		ngái	n g ái	n g a	N K V	N K A	7	623
315	Bru-Talan	oog	fat/oil/grease		ɲcʰɛˀɛŋ	ɲ cʰ ɛˀɛ ŋ	H T E N	N K V N	N C E N	15	632
316	Bru-Ubon	bru	fat/oil/grease		nseːŋ	n s eː ŋ	n s e N	N S V N	N S E N	15	632
317	Khmer-Surin	kxm	fat/oil/grease		kʰlaɲ	kʰ l a ɲ	k l a H	K R V N	K L A N	10	627
318	Khmer-Standard	khm	fat/oil/grease		kʰlaɲ	kʰ l a ɲ	k l a H	K R V N	K L A N	10	627
319	Mon	mnw	fat/oil/grease		klɑɲ	k l ɑ ɲ	k l o H	K R V N	K L A N	10	627
320	Vietnamese	vie	fat/oil/grease		mỡ	m õ	m o	M V	M U	41	650
321	Bahnar-Golar	bdq	fear/afraid		hliː	h l iː	h l i	H R V	H L I	4	673
322	Bahnar-Kontum	bdq	fear/afraid		ʔjuʔ	ʔ j u ʔ	7 y u 7	H J V H	H J Y H	6	675
323	Bahnar-Pleiku	bdq	fear/afraid		hliː	h l iː	h l i	H R V	H L I	4	673
324	Bru-Talan	oog	fear/afraid		ŋkɔˀɔh	ŋ k ɔˀɔ h	N k o h	N K V H	N K U H	13	658
325	Bru-Ubon	bru	fear/afraid		ŋkɔh	ŋ k ɔ h	N k o h	N K V H	N K U H	13	658
326	Khmer-Surin	kxm	fear/afraid		kʰlaːc	kʰ l aː c	k l a T	K R V K	K L A C	16	660
327	Khmer-Standard	khm	fear/afraid		klaːc	k l aː c	k l a T	K R V K	K L A C	16	660
328	Mon	mnw	fear/afraid		pʰɑc	pʰ ɑ c	p o T	P V K	P A C	23	664
329	Vietnamese	vie	fear/afraid		phạ	p h a	p h a	P H V	P H A	36	672
330	Bahnar-Golar	bdq	field -irrigated		cun	c u n	T u n	K V N	C Y N	2	687
331	Bahnar-Kontum	bdq	field -irrigated		miːr	m iː r	m i r	M V R	M I R	3	693
332	Bahnar-Pleiku	bdq	field -irrigated		miːr	m iː r	m i r	M V R	M I R	3	693
333	Bru-Talan	oog	field -irrigated		cʰrɛː	cʰ r ɛː	T r E	K R V	C R E	5	695
334	Khmer-Standard	khm	field -irrigated		srae	s r ae	s r a	S R V	S R A	5	695
335	Mon	mnw	field -irrigated		ŋɛ̀ʔ	ŋ ɛ̀ ʔ	N E 7	N V H	N E H	11	681
336	Vietnamese	vie	field -irrigated		ruộng	r u o n g	r u o n g	R V V N K	R Y U N K	26	692
337	Bahnar-Golar	bdq	field -swidden/hill		miːr	m iː r	m i r	M V R	M I R	4	717
338	Bahnar-Kontum	bdq	field -swidden/hill		miːr	m iː r	m i r	M V R	M I R	4	717
339	Bahnar-Pleiku	bdq	field -swidden/hill		miːr	m iː r	m i r	M V R	M I R	4	717
340	Bru-Ubon	bru	field -swidden/hill		saraj	s a r a j	s a r a y	S V R V J	S A R A J	8	719
341	Bahnar-Golar	bdq	finger		aŋlo	a ŋ l o	a N l o	V N R V	A N L U	2	731
342	Bahnar-Kontum	bdq	finger		aŋlo	a ŋ l o	a N l o	V N R V	A N L U	2	731
343	Bahnar-Pleiku	bdq	finger		aŋlo	a ŋ l o	a N l o	V N R V	A N L U	2	731
344	Bru-Talan	oog	finger		kəɲcɛˀɛŋ	k ə ɲ c ɛˀɛ ŋ	k I H T E N	K V N K V N	K E N C E N	9	751
345	Bru-Ubon	bru	finger		rədɔːj	r ə d ɔː j	r I d o y	R V T V J	R E T U J	10	722
346	Khmer-Surin	kxm	finger		mriːam	m r iːa m	m r i m	M R V M	M R I M	16	728
347	Khmer-Standard	khm	finger		mriəmdəj	mriəm dəj	m d	M T	M T	16	728
348	Mon	mnw	finger		kənə̀ŋtoa	kənə̀ŋ toa	k t	K T	K T	25	735
349	Vietnamese	vie	finger		ngón	n g ó n	n g o n	N K V N	N K U N	44	745
350	Bahnar-Golar	bdq	fire		ʔuɲ	ʔ u ɲ	7 u H	H V N	H Y N	2	760
351	Bahnar-Kontum	bdq	fire		ʔuɲ	ʔ u ɲ	7 u H	H V N	H Y N	2	760
352	Bahnar-Pleiku	bdq	fire		ʔuɲ	ʔ u ɲ	7 u H	H V N	H Y N	2	760
353	Bru-Talan	oog	fire		ʔujh	ʔ u j h	7 u y h	H V J H	H Y J H	1	752
354	Bru-Ubon	bru	fire		ʔuːs	ʔ uː s	7 u s	H V S	H Y S	1	752
355	Khmer-Surin	kxm	fire		pʰləːŋ	pʰ l əː ŋ	p l I N	P R V N	P L E N	5	763
356	Khmer-Standard	khm	fire		pləːŋ	p l əː ŋ	p l I N	P R V N	P L E N	5	763
357	Mon	mnw	fire		kəmot	k ə m o t	k I m o t	K V M V T	K E M U T	10	753
358	Vietnamese	vie	fire		lửa	l u a	l u a	R V V	L Y A	18	758
359	Bahnar-Golar	bdq	fish		kaː	k aː	k a	K V	K A	1	767
360	Bahnar-Kontum	bdq	fish		kaː	k aː	k a	K V	K A	1	767
361	Bahnar-Pleiku	bdq	fish		kaː	k aː	k a	K V	K A	1	767
362	Bru-Talan	oog	fish		peˀeʔ	p eˀe ʔ	p e 7	P V H	P E H	5	772
363	Bru-Ubon	bru	fish		ʔaːkaː	ʔ aː k aː	7 a k a	H V K V	H A K A	1	767
364	Khmer-Surin	kxm	fish		trɛj	t r ɛ j	t r E y	T R V J	T R E J	9	776
365	Khmer-Standard	khm	fish		triː	t r iː	t r i	T R V	T R I	9	776
366	Mon	mnw	fish		kaʔ	k a ʔ	k a 7	K V H	K A H	1	767
367	Vietnamese	vie	fish		cá	c á	T a	K V	C A	1	767
368	Bahnar-Golar	bdq	five		pəɗam	p ə ɗ a m	p I d a m	P V T V M	P E T A M	2	778
369	Bahnar-Kontum	bdq	five		pəɗam	p ə ɗ a m	p I d a m	P V T V M	P E T A M	2	778
370	Bahnar-Pleiku	bdq	five		pəɗam	p ə ɗ a m	p I d a m	P V T V M	P E T A M	2	778
371	Bru-Talan	oog	five		cʰə:ŋ	cʰ ə: ŋ	T I N	K V N	C E N	1	777
372	Bru-Ubon	bru	five		sɨːŋ	s ɨː ŋ	s I N	S V N	S I N	1	777
373	Khmer-Surin	kxm	five		pram	p r a m	p r a m	P R V M	P R A M	2	778
374	Khmer-Standard	khm	five		pram	p r a m	p r a m	P R V M	P R A M	2	778
375	Mon	mnw	five		pəsɔn	p ə s ɔ n	p I s o n	P V S V N	P E S U N	3	779
376	Vietnamese	vie	five		năm	n ă m	n a m	N V M	N A M	2	778
377	Bahnar-Golar	bdq	flesh/meat		ʔɲɛm	ʔ ɲ ɛ m	7 H E m	H N V M	H N E M	1	783
378	Bahnar-Kontum	bdq	flesh/meat		sɛc	s ɛ c	s E T	S V K	S E C	1	783
379	Bahnar-Pleiku	bdq	flesh/meat		ʔɲɛm	ʔ ɲ ɛ m	7 H E m	H N V M	H N E M	1	783
380	Bru-Talan	oog	flesh/meat		cʰɛc	cʰ ɛ c	T E T	K V K	C E C	1	783
381	Bru-Ubon	bru	flesh/meat		sac	s a c	s a T	S V K	S A C	1	783
382	Khmer-Surin	kxm	flesh/meat		sac	s a c	s a T	S V K	S A C	1	783
383	Khmer-Standard	khm	flesh/meat		sac	s a c	s a T	S V K	S A C	1	783
384	Mon	mnw	flesh/meat		pʰjun	pʰ j u n	p y u n	P J V N	P J Y N	27	794
385	Vietnamese	vie	flesh/meat		thịt	t h j t	t h y t	T H J T	T H J T	43	803
386	Bahnar-Golar	bdq	flower		pəkaːw	p ə k aː w	p I k a w	P V K V W	P E K A W	1	808
387	Bahnar-Kontum	bdq	flower		raːŋ	r aː ŋ	r a N	R V N	R A N	4	820
388	Bahnar-Pleiku	bdq	flower		pəkaːw	p ə k aː w	p I k a w	P V K V W	P E K A W	1	808
389	Bru-Talan	oog	flower		piˀir	p iˀi r	p i r	P V R	P I R	5	821
390	Bru-Ubon	bru	flower		pear	p ea r	p e r	P V R	P E R	5	821
391	Khmer-Surin	kxm	flower		pʰkaː	pʰ k aː	p k a	P K V	P K A	28	819
392	Khmer-Standard	khm	flower		pʰkaː	pʰ k aː	p k a	P K V	P K A	28	819
393	Mon	mnw	flower		kao	k ao	k a	K V	K A	1	808
394	Vietnamese	vie	flower		bống	b o n g	b o n g	P V N K	P U N K	27	818
395	Bahnar-Golar	bdq	foot		kəpaːjɟəŋ	kəpaːj ɟəŋ	k C	K K	K C	2	828
396	Bahnar-Kontum	bdq	foot		kəpaːjɟəŋ	kəpaːj ɟəŋ	k C	K K	K C	2	828
397	Bahnar-Pleiku	bdq	foot		kəpaːjɟəŋ	kəpaːj ɟəŋ	k C	K K	K C	2	828
398	Bru-Talan	oog	foot		jɨːŋ	j ɨː ŋ	y I N	J V N	J I N	2	828
399	Bru-Ubon	bru	foot		ʔaːjɨːŋ	ʔ aː j ɨː ŋ	7 a y I N	H V J V N	H A J I N	2	828
400	Khmer-Surin	kxm	foot		ʨɤːŋ	ʨ ɤː ŋ	C o N	K V N	C E N	2	828
401	Khmer-Standard	khm	foot		cɤ̀ːŋ	c ɤ̀ː ŋ	T o N	K V N	C E N	2	828
402	Mon	mnw	foot		càŋ	c à ŋ	T a N	K V N	C A N	2	828
403	Vietnamese	vie	foot		chân	c h â n	T h a n	K H V N	C H A N	1	825
404	Bahnar-Golar	bdq	four		pwan	p w a n	p w a n	P W V N	P W A N	1	834
405	Bahnar-Kontum	bdq	four		pwan	p w a n	p w a n	P W V N	P W A N	1	834
406	Bahnar-Pleiku	bdq	four		pwan	p w a n	p w a n	P W V N	P W A N	1	834
407	Bru-Talan	oog	four		puˀan	p uˀa n	p u n	P V N	P Y N	1	834
408	Bru-Ubon	bru	four		pʉːn	p ʉː n	p I n	P V N	P Y N	1	834
409	Khmer-Surin	kxm	four		bʊːn	b ʊː n	b u n	P V N	P Y N	1	834
410	Khmer-Standard	khm	four		buən	b uə n	b u n	P V N	P Y N	1	834
411	Mon	mnw	four		pɔn	p ɔ n	p o n	P V N	P U N	1	834
412	Vietnamese	vie	four		bốn	b o n	b o n	P V N	P U N	1	834
413	Bahnar-Golar	bdq	frog		kiːt	k iː t	k i t	K V T	K I T	6	854
414	Bahnar-Kontum	bdq	frog		kit	k i t	k i t	K V T	K I T	6	854
415	Bahnar-Pleiku	bdq	frog		kɨːt	k ɨː t	k I t	K V T	K I T	6	854
416	Bru-Talan	oog	frog		kṳnʔ	k ṳ n ʔ	k i n 7	K V N H	K Y N H	6	854
417	Bru-Ubon	bru	frog		ʔakṳat	ʔ a k ṳa t	7 a k i t	H V K V T	H A K Y T	6	854
418	Khmer-Surin	kxm	frog		ŋkɛːp	ŋ k ɛː p	N k E p	N K V P	N K E P	17	841
419	Khmer-Standard	khm	frog		kɑŋkaep	k ɑ ŋ k ae p	k o N k a p	K V N K V P	K A N K A P	17	841
420	Mon	mnw	frog		ŋɛ̀a	ŋ ɛ̀a	N E	N V	N E	25	846
421	Vietnamese	vie	frog		ếch	e c h	e T h	V K H	E C H	41	852
422	Bahnar-Golar	bdq	fruit		plɛːj	p l ɛː j	p l E y	P R V J	P L E J	1	858
423	Bahnar-Kontum	bdq	fruit		plɛːj	p l ɛː j	p l E y	P R V J	P L E J	1	858
424	Bahnar-Pleiku	bdq	fruit		plɛːj	p l ɛː j	p l E y	P R V J	P L E J	1	858
425	Bru-Talan	oog	fruit		kəlaːj	k ə l aː j	k I l a y	K V R V J	K E L A J	1	858
426	Bru-Ubon	bru	fruit		pəlaj	p ə l a j	p I l a y	P V R V J	P E L A J	1	858
427	Khmer-Surin	kxm	fruit		pʰlɛː	pʰ l ɛː	p l E	P R V	P L E	1	858
428	Khmer-Standard	khm	fruit		plae	p l ae	p l a	P R V	P L A	1	858
429	Mon	mnw	fruit		sɔt	s ɔ t	s o t	S V T	S U T	6	860
430	Vietnamese	vie	fruit		trái	t r ái	t r a	T R V	T R A	1	858
431	Bahnar-Golar	bdq	full		ɓeɲ	ɓ e ɲ	b e H	P V N	P E N	1	864
432	Bahnar-Kontum	bdq	full		ɓeɲ	ɓ e ɲ	b e H	P V N	P E N	1	864
433	Bahnar-Pleiku	bdq	full		ɓeɲ	ɓ e ɲ	b e H	P V N	P E N	1	864
434	Bru-Talan	oog	full		krəjh	k r ə j h	k r I y h	K R V J H	K R E J H	5	874
435	Bru-Ubon	bru	full		pɔn	p ɔ n	p o n	P V N	P U N	1	864
436	Khmer-Surin	kxm	full		pɪɲ	p ɪ ɲ	p i H	P V N	P I N	1	864
437	Khmer-Standard	khm	full		pɨɲ	p ɨ ɲ	p I H	P V N	P I N	1	864
438	Mon	mnw	full		pɑɲ	p ɑ ɲ	p o H	P V N	P A N	1	864
439	Vietnamese	vie	full		lăm	l ă m	l a m	R V M	L A M	21	873
440	Bahnar-Golar	bdq	grandchild		sɔw	s ɔ w	s o w	S V W	S U W	1	879
441	Bahnar-Kontum	bdq	grandchild		sɔw	s ɔ w	s o w	S V W	S U W	1	879
442	Bahnar-Pleiku	bdq	grandchild		sɔw	s ɔ w	s o w	S V W	S U W	1	879
443	Bru-Talan	oog	grandchild		caw	c a w	T a w	K V W	C A W	1	879
444	Bru-Ubon	bru	grandchild		ʔacaw	ʔ a c a w	7 a T a w	H V K V W	H A C A W	1	879
445	Khmer-Surin	kxm	grandchild		ʨaw	ʨ a w	C a w	K V W	C A W	1	879
446	Khmer-Standard	khm	grandchild		caw	c a w	T a w	K V W	C A W	1	879
447	Mon	mnw	grandchild		cao	c ao	T a	K V	C A	1	879
448	Vietnamese	vie	grandchild		cháutrai	cháu trai	T t	K T	C T	1	879
449	Bahnar-Golar	bdq	grass		ʔɲɛt	ʔ ɲ ɛ t	7 H E t	H N V T	H N E T	5	911
450	Bahnar-Kontum	bdq	grass		ʔɲɛt	ʔ ɲ ɛ t	7 H E t	H N V T	H N E T	5	911
451	Bahnar-Pleiku	bdq	grass		ʔɲɛt	ʔ ɲ ɛ t	7 H E t	H N V T	H N E T	5	911
452	Bru-Talan	oog	grass		cʰak	cʰ a k	T a k	K V K	C A K	10	888
453	Bru-Ubon	bru	grass		bat	b a t	b a t	P V T	P A T	4	905
454	Khmer-Surin	kxm	grass		smaw	s m a w	s m a w	S M V W	S M A W	14	891
455	Khmer-Standard	khm	grass		smaw	s m a w	s m a w	S M V W	S M A W	14	891
456	Mon	mnw	grass		kəmot	k ə m o t	k I m o t	K V M V T	K E M U T	24	897
457	Vietnamese	vie	grass		cỏ	c o	T o	K V	C U	47	909
458	Bahnar-Golar	bdq	green		ɟəːk	ɟ əː k	C I k	K V K	C E K	7	942
459	Bahnar-Pleiku	bdq	green		ɟəːk	ɟ əː k	C I k	K V K	C E K	7	942
460	Bru-Talan	oog	green		hoʔ	h o ʔ	h o 7	H V H	H U H	21	921
461	Bru-Ubon	bru	green		siəw	s iə w	s i w	S V W	S I W	6	941
462	Mon	mnw	green		sacŋeak	sac ŋeak	s N	S N	S N	37	931
463	Vietnamese	vie	green		xanh	x a n h	x a n h	K V N H	G A N H	55	940
464	Bahnar-Golar	bdq	hair -head		sɔk	s ɔ k	s o k	S V K	S U K	1	944
465	Bahnar-Kontum	bdq	hair -head		sɔk	s ɔ k	s o k	S V K	S U K	1	944
466	Bahnar-Pleiku	bdq	hair -head		sɔk	s ɔ k	s o k	S V K	S U K	1	944
467	Bru-Talan	oog	hair -head		cʰɔk	cʰ ɔ k	T o k	K V K	C U K	1	944
468	Bru-Ubon	bru	hair -head		soʔ	s o ʔ	s o 7	S V H	S U H	1	944
469	Khmer-Surin	kxm	hair -head		sɑɁ	s ɑ Ɂ	s o 7	S V H	S A H	1	944
470	Khmer-Standard	khm	hair -head		sɑʔ	s ɑ ʔ	s o 7	S V H	S A H	1	944
471	Mon	mnw	hair -head		sok	s o k	s o k	S V K	S U K	1	944
472	Vietnamese	vie	hair -head		tóc	t ó c	t o T	T V K	T U C	1	944
473	Bahnar-Golar	bdq	hand		təpaːjtiː	təpaːj tiː	t t	T T	T T	3	951
474	Bahnar-Kontum	bdq	hand		kəpaːjtiː	kəpaːj tiː	k t	K T	K T	3	951
475	Bahnar-Pleiku	bdq	hand		təpaːjtiː	təpaːj tiː	t t	T T	T T	3	951
476	Bru-Talan	oog	hand		tiː	t iː	t i	T V	T I	3	951
477	Bru-Ubon	bru	hand		ʔatiː	ʔ a t iː	7 a t i	H V T V	H A T I	3	951
478	Khmer-Surin	kxm	hand		daj	d a j	d a y	T V J	T A J	3	951
479	Khmer-Standard	khm	hand		dəj	d ə j	d I y	T V J	T E J	3	951
480	Mon	mnw	hand		toa	t oa	t o	T V	T U	3	951
481	Vietnamese	vie	hand		tay	t ay	t a	T V	T A	5	953
482	Bahnar-Golar	bdq	head		kəl	k ə l	k I l	K V R	K E L	2	957
483	Bahnar-Kontum	bdq	head		kəl	k ə l	k I l	K V R	K E L	2	957
484	Bahnar-Pleiku	bdq	head		kəl	k ə l	k I l	K V R	K E L	2	957
485	Bru-Talan	oog	head		plɔː	p l ɔː	p l o	P R V	P L U	5	962
486	Bru-Ubon	bru	head		pləː	p l əː	p l I	P R V	P L E	5	962
487	Khmer-Surin	kxm	head		kbaːl	k b aː l	k b a l	K P V R	K P A L	8	965
488	Khmer-Standard	khm	head		kbaːl	k b aː l	k b a l	K P V R	K P A L	8	965
489	Mon	mnw	head		dɑp	d ɑ p	d o p	T V P	T A P	15	956
490	Bahnar-Golar	bdq	heart		nujh	n u j h	n u y h	N V J H	N Y J H	2	975
491	Bahnar-Kontum	bdq	heart		nujh	n u j h	n u y h	N V J H	N Y J H	2	975
492	Bahnar-Pleiku	bdq	heart		nujh	n u j h	n u y h	N V J H	N Y J H	2	975
493	Bru-Talan	oog	heart		reŋɨh	r e ŋ ɨ h	r e N I h	R V N V H	R E N I H	9	990
494	Bru-Ubon	bru	heart		rəŋɨh	r ə ŋ ɨ h	r I N I h	R V N V H	R E N I H	9	990
495	Khmer-Surin	kxm	heart		bɛhdoːŋ	bɛh doːŋ	b d	P T	P T	15	972
496	Khmer-Standard	khm	heart		behdoːŋ	beh doːŋ	b d	P T	P T	15	972
497	Mon	mnw	heart		cɑt	c ɑ t	T o t	K V T	C A T	25	978
498	Vietnamese	vie	heart		tim	t i m	t i m	T V M	T I M	40	985
499	Bahnar-Golar	bdq	heavy		trap	t r a p	t r a p	T R V P	T R A P	32	1006
500	Bahnar-Kontum	bdq	heavy		hŋam	h ŋ a m	h N a m	H N V M	H N A M	5	1008
501	Bahnar-Pleiku	bdq	heavy		trap	t r a p	t r a p	T R V P	T R A P	32	1006
502	Bru-Talan	oog	heavy		ntaʔŋ	n t a ʔ ŋ	n t a 7 N	N T V H N	N T A H N	10	991
503	Bru-Ubon	bru	heavy		ntɔŋ	n t ɔ ŋ	n t o N	N T V N	N T U N	10	991
504	Khmer-Surin	kxm	heavy		tʰmuan	tʰ m ua n	t m u n	T M V N	T M Y N	13	994
505	Khmer-Standard	khm	heavy		tŋʊən	t ŋ ʊə n	t N u n	T N V N	T N Y N	13	994
506	Mon	mnw	heavy		sàŋ	s à ŋ	s a N	S V N	S A N	21	998
507	Vietnamese	vie	heavy		nặng	n a n g	n a n g	N V N K	N A N K	30	1005
508	Bahnar-Golar	bdq	horn		həkɛː	h ə k ɛː	h I k E	H V K V	H E K E	2	1017
509	Bahnar-Kontum	bdq	horn		ʔakɛː	ʔ a k ɛː	7 a k E	H V K V	H A K E	2	1017
510	Bahnar-Pleiku	bdq	horn		ʔakɛː	ʔ a k ɛː	7 a k E	H V K V	H A K E	2	1017
511	Bru-Talan	oog	horn		təŋᵏɔ̤ːj	t ə ŋᵏ ɔ̤ː j	t I N o y	T V N V J	T E N U J	3	1018
512	Bru-Ubon	bru	horn		takɔːj	t a k ɔː j	t a k o y	T V K V J	T A K U J	3	1018
513	Khmer-Surin	kxm	horn		snɛːɲ	s n ɛː ɲ	s n E H	S N V N	S N E N	17	1016
514	Khmer-Standard	khm	horn		snaeŋ	s n ae ŋ	s n a N	S N V N	S N A N	17	1016
515	Mon	mnw	horn		krèaŋ	k r èa ŋ	k r e N	K R V N	K R E N	4	1019
516	Vietnamese	vie	horn		sừng	s u n g	s u n g	S V N K	S Y N K	16	1015
517	Bahnar-Golar	bdq	hot/warm		tɔʔ	t ɔ ʔ	t o 7	T V H	T U H	5	1044
518	Bahnar-Kontum	bdq	hot/warm		tɔʔ	t ɔ ʔ	t o 7	T V H	T U H	5	1044
519	Bahnar-Pleiku	bdq	hot/warm		tɔʔ	t ɔ ʔ	t o 7	T V H	T U H	5	1044
520	Bru-Talan	oog	hot/warm		toʔ	t o ʔ	t o 7	T V H	T U H	5	1044
521	Khmer-Surin	kxm	hot/warm		kdaw	k d a w	k d a w	K T V W	K T A W	5	1044
522	Khmer-Standard	khm	hot/warm		kdaw	k d a w	k d a w	K T V W	K T A W	5	1044
523	Mon	mnw	hot/warm		kataɔ	k a t aɔ	k a t a	K V T V	K A T A	5	1044
524	Vietnamese	vie	hot/warm		ấm	a m	a m	V M	A M	12	1024
525	Bahnar-Golar	bdq	house		hnam	h n a m	h n a m	H N V M	H N A M	4	1059
526	Bahnar-Kontum	bdq	house		hnam	h n a m	h n a m	H N V M	H N A M	4	1059
527	Bahnar-Pleiku	bdq	house		hnaːm	h n aː m	h n a m	H N V M	H N A M	4	1059
528	Bru-Talan	oog	house		duŋ	d u ŋ	d u N	T V N	T Y N	2	1057
529	Bru-Ubon	bru	house		dʉŋ	d ʉ ŋ	d I N	T V N	T Y N	2	1057
530	Khmer-Surin	kxm	house		ptiah	p t ia h	p t i h	P T V H	P T I H	e	1064
531	Khmer-Standard	khm	house		pteah	p t ea h	p t e h	P T V H	P T E H	e	1064
532	Mon	mnw	house		hɑɛʔ	h ɑɛ ʔ	h o 7	H V H	H A H	3	1058
533	Vietnamese	vie	house		nhà	n h à	n h a	N H V	N H A	3	1058
534	Bahnar-Golar	bdq	intestine/gut		klaːk	k l aː k	k l a k	K R V K	K L A K	5	1083
535	Bahnar-Kontum	bdq	intestine/gut		klaːk	k l aː k	k l a k	K R V K	K L A K	5	1083
536	Bahnar-Pleiku	bdq	intestine/gut		klaːk	k l aː k	k l a k	K R V K	K L A K	5	1083
537	Bru-Talan	oog	intestine/gut		rɔːjʔ	r ɔː j ʔ	r o y 7	R V J H	R U J H	6	1084
538	Bru-Ubon	bru	intestine/gut		rṳajʔ	r ṳa j ʔ	r i y 7	R V J H	R Y J H	6	1084
539	Khmer-Standard	khm	intestine/gut		ʔɑntaʔ	ʔ ɑ n t a ʔ	7 o n t a 7	H V N T V H	H A N T A H	8	1086
540	Mon	mnw	intestine/gut		krɔt	k r ɔ t	k r o t	K R V T	K R U T	12	1077
541	Vietnamese	vie	intestine/gut		ruột	r uộ t	r u t	R V T	R Y T	6	1084
542	Bahnar-Golar	bdq	iron		maːm	m aː m	m a m	M V M	M A M	1	1088
543	Bahnar-Kontum	bdq	iron		maːm	m aː m	m a m	M V M	M A M	1	1088
544	Bahnar-Pleiku	bdq	iron		maːm	m aː m	m a m	M V M	M A M	1	1088
545	Bru-Talan	oog	iron		taˀa	t aˀa	t a	T V	T A	5	1100
