ID	DOCULECT	CONCEPT	IPA
880	KHASI	sit	sʰoŋ
881	MUNDARI	sit	dub
882	BAHNAR	stand	doŋ
883	VIETNAMESE	stand	duŋ_ʒaj
884	RUC	stand	taŋ
885	MON	stand	tuiw
886	NYAKUR	stand	jən
887	KHMER	stand	ʒʰar
888	KUI_THAILAND	stand	tejəŋ
889	SEMAI	stand	ʒiɲʒək
890	WA	stand	t͡ʃuŋ
891	DEANG	stand	ʒaŋ
892	KHMU	stand	tən
893	KSINMUL	stand	t͡ʃal
894	KHASI	stand	ieŋ
895	MUNDARI	stand	tiŋɡu
896	JEH	give	doh
897	BAHNAR	give	an
898	CHRAU	give	an
899	VIETNAMESE	give	to
900	MON	give	kuiw
901	NYAKUR	give	kul
902	KHMER	give	oj
903	KUI_THAILAND	give	an
904	SEMAI	give	ok
905	WA	give	toʔ
906	DEANG	give	don
907	KHMU	give	un
908	KSINMUL	give	mah
909	MUNDARI	give	om
910	JEH	say	tətah
911	BAHNAR	say	pəma
912	CHRAU	say	paɲ
913	VIETNAMESE	say	raŋ
914	RUC	say	t͡ʃol
915	MON	say	huim
916	NYAKUR	say	pʰut
917	KHMER	say	srəti
918	SEMAI	say	pder
919	WA	say	krai
920	DEANG	say	ɡrai
921	KHMU	say	lo
922	KSINMUL	say	waw
923	KHASI	say	oŋ
924	MUNDARI	say	men
925	JEH	sun	matŋaj
926	BAHNAR	sun	nar
927	CHRAU	sun	mat_nar
928	VIETNAMESE	sun	mat_t͡ʃoi
929	RUC	sun	mətpləj
930	MON	sun	tŋaj
931	NYAKUR	sun	hãj
932	KHMER	sun	tʰəŋaj
933	KUI_THAILAND	sun	məniaŋ
934	SEMAI	sun	matʒis
935	WA	sun	siŋaiʔ
936	DEANG	sun	sŋoi
937	KHMU	sun	matpri
938	KSINMUL	sun	t͡ʃəlŋe
939	KHASI	sun	sŋi
940	MUNDARI	sun	siŋɡi
941	JEH	moon	kʰei
942	BAHNAR	moon	kʰei
943	CHRAU	moon	kʰaj
944	VIETNAMESE	moon	t͡ʃaŋ
945	MON	moon	ɡatu
946	NYAKUR	moon	ntuʔ
947	KHMER	moon	kʰɛ
948	KUI_THAILAND	moon	mpʰriaŋsai
949	SEMAI	moon	ɡt͡ʃɛʔ
950	WA	moon	kʰiʔ
951	DEANG	moon	plaŋ_kiar
952	KHMU	moon	moŋ
953	KSINMUL	moon	blah
954	KHASI	moon	binai
955	JEH	star	hloŋ
956	BAHNAR	star	səŋloŋ
957	CHRAU	star	simaɲ
958	RUC	star	kumiɲ
959	MON	star	saman
960	KHMER	star	pʰəkaj
961	KUI_THAILAND	star	ntar
962	SEMAI	star	prloj
963	WA	star	simʔuiŋ
964	DEANG	star	sman
965	KHMU	star	sərmin
966	KSINMUL	star	məɲ
967	KHASI	star	kʰlur
968	MUNDARI	star	ipil
969	JEH	water	dak
970	BAHNAR	water	dak
971	CHRAU	water	daʔ
972	VIETNAMESE	water	nuok
973	RUC	water	daʔ
974	MON	water	dak
975	NYAKUR	water	dak
976	KHMER	water	dək
977	KUI_THAILAND	water	diaʔ
978	SEMAI	water	tew
979	WA	water	rom
980	DEANG	water	om
981	KHMU	water	om
982	KSINMUL	water	hot
983	KHASI	water	um
984	MUNDARI	water	daʔ
985	JEH	rain	mriah
986	BAHNAR	rain	mi
987	CHRAU	rain	mi
988	VIETNAMESE	rain	mua
989	RUC	rain	kuməa
990	MON	rain	braj
991	NYAKUR	rain	pʰrɛj
992	KHMER	rain	bʰliəŋ
993	KUI_THAILAND	rain	məmia
994	SEMAI	rain	maniʔ
995	WA	rain	lʰɛʔ
996	DEANG	rain	klai
997	KHMU	rain	kəma
998	KSINMUL	rain	əmə
999	KHASI	rain	slap
1000	MUNDARI	rain	ɡama
1001	JEH	stone	təmou
1002	BAHNAR	stone	təmo
1003	CHRAU	stone	tamo
1004	VIETNAMESE	stone	da
1005	RUC	stone	lata
1006	MON	stone	tmoʔ
1007	NYAKUR	stone	hmoʔ
1008	KHMER	stone	tʰəmo
1009	KUI_THAILAND	stone	təmau
1010	WA	stone	si_mauʔ
1011	DEANG	stone	mau
1012	KHMU	stone	klaŋ
1013	KSINMUL	stone	əliəŋ
1014	KHASI	stone	maw
1015	MUNDARI	stone	diri
1016	JEH	sand	t͡ʃoih
1017	BAHNAR	sand	t͡ʃuəh
1018	CHRAU	sand	t͡ʃʷoh
1019	VIETNAMESE	sand	kat
1020	RUC	sand	təkat͡ʃ
1021	MON	sand	bti
1022	NYAKUR	sand	ntəl
1023	KHMER	sand	kʰəsat͡ʃ
1024	WA	sand	mʰaik
1025	DEANG	sand	kʰaiʔ
1026	KHMU	sand	t͡ʃres
1027	KHASI	sand	sʰiap
1028	MUNDARI	sand	ɡitil
1029	JEH	earth	neh
1030	BAHNAR	earth	tɛh
1031	CHRAU	earth	nteh
1032	VIETNAMESE	earth	dat
1033	MON	earth	ti
1034	NYAKUR	earth	tiʔ
1035	KHMER	earth	ti
1036	KUI_THAILAND	earth	kətɛʔ
1037	SEMAI	earth	teʔ
1038	WA	earth	tɛʔ
1039	DEANG	earth	kʼtai
1040	KHMU	earth	pəte
1041	KSINMUL	earth	kəte
1042	KHASI	earth	pirtʰei
1043	MUNDARI	earth	ote
1044	JEH	cloud	kəsok
1045	BAHNAR	cloud	həməl
1046	CHRAU	cloud	tuʔ
1047	VIETNAMESE	cloud	mad͡ʒ
1048	RUC	cloud	məl
1049	MON	cloud	matbrai
1050	NYAKUR	cloud	mok
1051	KHMER	cloud	bəbok
1052	KUI_THAILAND	cloud	hlət
1053	WA	cloud	paiʔom
1054	DEANG	cloud	ⁿʰʔut
1055	KHMU	cloud	put
1056	KSINMUL	cloud	mok
1057	KHASI	cloud	lʲʼoh
1058	MUNDARI	cloud	rimil
1059	JEH	smoke	hnuai
1060	BAHNAR	smoke	ɲui
1061	CHRAU	smoke	ɲuʔ
1062	VIETNAMESE	smoke	kxoi
1063	RUC	smoke	kahoj
1064	MON	smoke	jak
1065	NYAKUR	smoke	jak
1066	KHMER	smoke	pʰəsɛŋ
1067	KUI_THAILAND	smoke	mpiʔ
1068	SEMAI	smoke	t͡ʃul
1069	WA	smoke	tauʔ
1070	DEANG	smoke	toʔ
1071	KHMU	smoke	pətə
1072	KSINMUL	smoke	pətow
1073	KHASI	smoke	ⁿdem
1074	MUNDARI	smoke	sukul
1075	JEH	fire	on
1076	BAHNAR	fire	uɲ
1077	CHRAU	fire	uɲ
1078	VIETNAMESE	fire	lua
1079	RUC	fire	kurʰ
1080	MON	fire	pamat
1081	NYAKUR	fire	kəmat
1082	KHMER	fire	bʰlaəŋ
1083	KUI_THAILAND	fire	uh
1084	SEMAI	fire	os
1085	WA	fire	ŋu
1086	DEANG	fire	ŋar
1087	KHMU	fire	pərləa
1088	KSINMUL	fire	həɡoŋ
1089	KHASI	fire	diŋ
1090	MUNDARI	fire	seŋɡel
1091	JEH	ashes	luŋ_lok
1092	BAHNAR	ashes	həjok
1093	CHRAU	ashes	vuh
1094	VIETNAMESE	ashes	t͡ʃo
1095	RUC	ashes	təpɛh
1096	MON	ashes	pateŋ
1097	NYAKUR	ashes	pətiɲ
1098	KHMER	ashes	pʰɛh
1099	KUI_THAILAND	ashes	pʰaʔ
1100	SEMAI	ashes	ɡŋhəl
1101	WA	ashes	ɲauʔ
1102	DEANG	ashes	kʼfaŋ
1103	KHMU	ashes	poh
1104	KSINMUL	ashes	əboh
1105	KHASI	ashes	dipei
1106	MUNDARI	ashes	toroeʔ
1107	CHRAU	burn	ŋit
1108	RUC	burn	takat
1109	MON	burn	tau
1110	NYAKUR	burn	kʰlak
1111	KHMER	burn	tut
1112	KUI_THAILAND	burn	t͡ʃaŋ
1113	WA	burn	kəik
1114	KHMU	burn	pok
1115	KHASI	burn	iŋ
1116	MUNDARI	burn	ro
1117	JEH	road	traŋ
1118	BAHNAR	road	troŋ
1119	CHRAU	road	troŋ
1120	VIETNAMESE	road	duoŋ
1121	MON	road	traw
1122	NYAKUR	road	trew
1123	KHMER	road	ʒəluw_tʰənal
1124	KUI_THAILAND	road	kəna
1125	SEMAI	road	nuŋ
1126	WA	road	kraʔ
1127	DEANG	road	ndɛŋ
1128	KHMU	road	ŋor
1129	KSINMUL	road	tum
1130	KHASI	road	surok
1131	MUNDARI	road	hora
1132	JEH	mountain	ŋuk
1133	BAHNAR	mountain	koŋ
1134	CHRAU	mountain	ɡuŋ
1135	VIETNAMESE	mountain	nui
1136	RUC	mountain	t͡ʃət
1137	MON	mountain	duiw
1138	NYAKUR	mountain	kur
1139	KHMER	mountain	bʰənom
1140	KUI_THAILAND	mountain	bru
1141	SEMAI	mountain	lot
1142	WA	mountain	ɡoŋ
1143	DEANG	mountain	svr
1144	KHMU	mountain	mok
1145	KSINMUL	mountain	kʰeɡaŋ
1146	KHASI	mountain	limbah
1147	MUNDARI	mountain	buru
1148	JEH	red	dum
1149	BAHNAR	red	bre
1150	CHRAU	red	prho
1151	VIETNAMESE	red	do
1152	RUC	red	to
1153	MON	red	bkat
1154	NYAKUR	red	pʰələɲ
1155	KHMER	red	krəham
1156	KUI_THAILAND	red	ksaw
1157	SEMAI	red	rŋaɲ
1158	WA	red	rauh
1159	DEANG	red	rəŋ
1160	KHMU	red	jim
1161	KSINMUL	red	kəʔet
1162	KHASI	red	saw
1163	MUNDARI	red	araʔ
1164	JEH	green	drih
1165	BAHNAR	green	ʒək
1166	MON	green	saŋeak
1167	NYAKUR	green	lət͡ʃok
1168	KHMER	green	pajtaŋ
1169	WA	green	klai
1170	DEANG	green	ɲiar
1171	KHMU	green	t͡ʃəŋar
1172	KSINMUL	green	le
1173	MUNDARI	green	ɡaded
1174	JEH	yellow	driŋ
1175	BAHNAR	yellow	dreŋ
1176	CHRAU	yellow	ramut
1177	VIETNAMESE	yellow	vaŋ
1178	RUC	yellow	vaŋ
1179	MON	yellow	damit
1180	NYAKUR	yellow	pət͡ʃuɲ
1181	KHMER	yellow	ləŋ
1182	SEMAI	yellow	pʰok
1183	WA	yellow	lʰəŋ
1184	DEANG	yellow	təŋ
1185	KHMU	yellow	si_ləŋ
1186	KSINMUL	yellow	ləŋ
1187	KHASI	yellow	stem
1188	MUNDARI	yellow	sa_saŋ
1189	JEH	white	təbok
1190	BAHNAR	white	kok
1191	CHRAU	white	voʔ
1192	VIETNAMESE	white	t͡ʃaŋ
1193	RUC	white	təkal
1194	MON	white	bu
1195	NYAKUR	white	t͡ʃʰuŋ
1196	KHMER	white	so
1197	KUI_THAILAND	white	buaʔ
1198	SEMAI	white	bʲɛk
1199	WA	white	paiŋ
1200	DEANG	white	bloʔ
1201	KHMU	white	klok
1202	KSINMUL	white	luək
1203	KHASI	white	lih
1204	JEH	black	ɲuŋ
1205	BAHNAR	black	ɡam
1206	CHRAU	black	d͡ʒuʔ
1207	VIETNAMESE	black	den
1208	RUC	black	tɛntɛn
1209	MON	black	ləmt͡ʃok
1210	NYAKUR	black	pʰliət
1211	KHMER	black	kʰəmaw
1212	KUI_THAILAND	black	tʷɛɲ
1213	SEMAI	black	blʔak
1214	WA	black	luŋ
1215	DEANG	black	vaŋ
1216	KHMU	black	həaŋ
1217	KSINMUL	black	ot͡ʃ
1218	KHASI	black	ioŋ
1219	MUNDARI	black	heⁿde
1220	JEH	night	maŋ
1221	BAHNAR	night	maŋ
1222	CHRAU	night	maŋ
1223	VIETNAMESE	night	dem
1224	MON	night	btam
1225	NYAKUR	night	pətam
1226	KHMER	night	jop
1227	KUI_THAILAND	night	kʰriau
1228	SEMAI	night	təpm
1229	WA	night	pomsom
1230	DEANG	night	səm
1231	KHMU	night	pəsəam
1232	KSINMUL	night	pət
1233	KHASI	night	miet
1234	VIETNAMESE	warm	noŋ
1235	RUC	warm	təl
1236	MON	warm	ɡuim
1237	NYAKUR	warm	rəʔuɲ
1238	KHMER	warm	kədaw
1239	DEANG	warm	un
1240	KHMU	warm	ŋəkəm
1241	KSINMUL	warm	ɡəm
1242	MUNDARI	warm	lolo
1243	JEH	cold	rəteh
1244	BAHNAR	cold	təŋiet
1245	CHRAU	cold	takat
1246	RUC	cold	lubat
1247	MON	cold	ɡoak
1248	NYAKUR	cold	təkat
1249	KHMER	cold	trəʒak
1250	KUI_THAILAND	cold	t͡ʃŋɛt
1251	SEMAI	cold	sŋɛt͡ʃ
1252	WA	cold	kuat
1253	DEANG	cold	kat
1254	KHMU	cold	ŋar
1255	KSINMUL	cold	kʰreat
1256	KHASI	cold	kʰreat
1257	MUNDARI	cold	tutukan
1258	JEH	full	biŋ
1259	BAHNAR	full	ben̪
1260	CHRAU	full	veɲ
1261	VIETNAMESE	full	daj
1262	RUC	full	blam
1263	MON	full	peŋ
1264	NYAKUR	full	pin̪
1265	KHMER	full	bən
1266	SEMAI	full	təbek
1267	WA	full	nauk
1268	DEANG	full	noʔ
1269	KHMU	full	kin
1270	KSINMUL	full	kiɲ
1271	KHASI	full	dap
1272	JEH	new	nao
1273	BAHNAR	new	hlɛ
1274	CHRAU	new	me
1275	VIETNAMESE	new	moi
1276	RUC	new	bəj
1277	MON	new	tami
1278	NYAKUR	new	təmiʔ
1279	KHMER	new	tʰmi
1280	KUI_THAILAND	new	tmai
1281	SEMAI	new	paj
1282	WA	new	kʰrauʔ
1283	DEANG	new	kmai
1284	KHMU	new	hənme
1285	KSINMUL	new	həme
1286	KHASI	new	tʰimmai
1287	JEH	good	liam
1288	BAHNAR	good	liɛm
1289	CHRAU	good	jah
1290	VIETNAMESE	good	tot
1291	RUC	good	jah
1292	MON	good	kʰuih
1293	NYAKUR	good	hnap
1294	KHMER	good	ləʔo
1295	SEMAI	good	bor
1296	WA	good	mʰəm
1297	DEANG	good	mʰəm
1298	KHMU	good	lə
1299	KSINMUL	good	tuh
1300	KHASI	good	babha
1301	MUNDARI	good	buɡi
1302	BAHNAR	round	həpom
1303	RUC	round	klon
1304	MON	round	kʰdom
1305	NYAKUR	round	kəlpum
1306	KHMER	round	mul
1307	KUI_THAILAND	round	dul
1308	WA	round	lomle
1309	KHMU	round	mon
1310	KSINMUL	round	mon
1311	KHASI	round	pillun
1312	JEH	dry	raŋ
1313	BAHNAR	dry	hreŋ
1314	CHRAU	dry	sah
1315	MON	dry	səmkah
1316	NYAKUR	dry	t͡ʃəkas
1317	KHMER	dry	sŋuət
1318	KUI_THAILAND	dry	sʔat
1319	SEMAI	dry	hot͡ʃ
1320	WA	dry	kroh
1321	KHMU	dry	ras
1322	KHASI	dry	rikʰiaŋ
1323	MUNDARI	dry	roro
1324	JEH	name	təliʔ
1325	CHRAU	name	saʔ
1326	VIETNAMESE	name	ten
1327	KHMER	name	ʒʰəmaoh
1328	KUI_THAILAND	name	məh
1329	SEMAI	name	muh
1330	WA	name	kaəʔ
1331	KHASI	name	kirteŋ
1332	MUNDARI	name	nutum
1333	ClassicalNahuatl	I	neʔwaːtl
1334	TetelcingoNahuatl	I	naha
1335	NorthPueblaNahuatl	I	nehwatl
1336	MecayapanNahuat	I	neh
1337	PajapanNahuat	I	neha
1338	JalupaNahuat	I	nehe
1339	Pipil	I	na
1340	Pochutec	I	nen
1341	ProtoAztecan	I	naha
1342	ClassicalNahuatl	all	mochin
1343	TetelcingoNahuatl	all	nochiː
1344	NorthPueblaNahuatl	all	nochin
1345	MecayapanNahuat	all	nochi
1346	PajapanNahuat	all	nochi
1347	JalupaNahuat	all	muchi
1348	Pipil	all	muchi
1349	Pochutec	all	nochó
1350	ProtoAztecan	all	mochɨm
1351	ClassicalNahuatl	ashes	nextli
1352	TetelcingoNahuatl	ashes	tlakonextliː
1353	NorthPueblaNahuatl	ashes	tlekonextli
1354	MecayapanNahuat	ashes	kwaneːx
1355	PajapanNahuat	ashes	baneːx
1356	JalupaNahuat	ashes	kónexti
1357	Pipil	ashes	nexti
1358	Pochutec	ashes	noxt
1359	ProtoAztecan	ashes	nɨxtlɨ
1360	ClassicalNahuatl	bark	eːwatl
1361	TetelcingoNahuatl	bark	yewayutl
1362	NorthPueblaNahuatl	bark	yewayo
1363	MecayapanNahuat	bark	kwakahloːʔ
1364	PajapanNahuat	bark	bagahlo
1365	JalupaNahuat	bark	sulkoi
1366	Pipil	bark	eːwayu
1367	ProtoAztecan	bark	ɨwaːyoːtl
1368	ClassicalNahuatl	bite	keʔtzom
1369	TetelcingoNahuatl	bite	ketzoma
1370	NorthPueblaNahuatl	bite	tlankechiya
1371	MecayapanNahuat	bite	tankwa
1372	PajapanNahuat	bite	tamba
1373	Pipil	bite	tankwa
1374	ProtoAztecan	bite	kɨhtzoma
1375	ClassicalNahuatl	black	tliːltik
1376	TetelcingoNahuatl	black	tliltiːk
1377	NorthPueblaNahuatl	black	tliltik
1378	MecayapanNahuat	black	piːstiʔ
1379	PajapanNahuat	black	pistik
1380	JalupaNahuat	black	yayák
1381	Pipil	black	tiːltik_
1382	ProtoAztecan	black	tliːltɨk
1383	ClassicalNahuatl	blood	estli
1384	TetelcingoNahuatl	blood	yestliː
1385	NorthPueblaNahuatl	blood	yestli
1386	MecayapanNahuat	blood	esti
1387	PajapanNahuat	blood	esti
1388	JalupaNahuat	blood	esti
1389	Pipil	blood	esti
1390	Pochutec	blood	est
1391	ProtoAztecan	blood	ɨstlɨ
1392	ClassicalNahuatl	bone	omitl
1393	TetelcingoNahuatl	bone	miːmiːtetl
1394	NorthPueblaNahuatl	bone	ohmitl
1395	MecayapanNahuat	bone	omiʔ
1396	PajapanNahuat	bone	omit
1397	JalupaNahuat	bone	umit
1398	Pipil	bone	uːmit
1399	Pochutec	bone	ot
1400	ProtoAztecan	bone	oːmɨtl
1401	ClassicalNahuatl	burn	tlatiaː
1402	TetelcingoNahuatl	burn	tlatia
1403	NorthPueblaNahuatl	burn	tititza
1404	MecayapanNahuat	burn	tatiá
1405	PajapanNahuat	burn	tata
1406	JalupaNahuat	burn	tati
1407	Pipil	burn	tatia
1408	Pochutec	burn	tatí
1409	ProtoAztecan	burn	tlatɨha
1410	ClassicalNahuatl	claw	istetl
1411	TetelcingoNahuatl	claw	iste
1412	NorthPueblaNahuatl	claw	istn
1413	MecayapanNahuat	claw	isti
1414	PajapanNahuat	claw	isti
1415	JalupaNahuat	claw	isti
1416	Pipil	claw	istit
1417	Pochutec	claw	oxt
1418	ProtoAztecan	claw	ɨstɨ
1419	ClassicalNahuatl	cloud	mixtli
1420	TetelcingoNahuatl	cloud	mextliː
1421	NorthPueblaNahuatl	cloud	mextli
1422	MecayapanNahuat	cloud	mixti
1423	PajapanNahuat	cloud	miːxti
1424	Pipil	cloud	mixti
1425	Pochutec	cloud	pixt?
1426	ProtoAztecan	cloud	mixtlɨ
1427	ClassicalNahuatl	cold	iːtztik
1428	TetelcingoNahuatl	cold	itztiːk
1429	NorthPueblaNahuatl	cold	itztik
1430	MecayapanNahuat	cold	seseːʔ
1431	PajapanNahuat	cold	seseːk
1432	JalupaNahuat	cold	sesek
1433	Pipil	cold	sesek
1434	Pochutec	cold	piná
1435	ProtoAztecan	cold	sesek
1436	ClassicalNahuatl	come	witz
1437	TetelcingoNahuatl	come	ibitz
1438	NorthPueblaNahuatl	come	witz
1439	MecayapanNahuat	come	wiːʔ
1440	PajapanNahuat	come	wiːtz
1441	JalupaNahuat	come	ñotz
1442	Pipil	come	wiːtz
1443	Pochutec	come	witz
1444	ProtoAztecan	come	wiːtz_
1445	ClassicalNahuatl	die	mik
1446	TetelcingoNahuatl	die	miːkiː
1447	NorthPueblaNahuatl	die	miki
1448	MecayapanNahuat	die	miki
1449	PajapanNahuat	die	migi
1450	JalupaNahuat	die	miki
1451	Pipil	die	miki
1452	Pochutec	die	mok
1453	ProtoAztecan	die	mɨki
1454	ClassicalNahuatl	dog	chichi
1455	TetelcingoNahuatl	dog	chiːchiːtu
1456	NorthPueblaNahuatl	dog	chichi
1457	MecayapanNahuat	dog	peːlo_
1458	PajapanNahuat	dog	pelo_
1459	JalupaNahuat	dog	chuchu
1460	Pipil	dog	peːlu_
1461	Pochutec	dog	tachóm
1462	ClassicalNahuatl	drink	oniː_
1463	TetelcingoNahuatl	drink	oni
1464	NorthPueblaNahuatl	drink	oni
1465	MecayapanNahuat	drink	oniá
1466	PajapanNahuat	drink	oni
1467	JalupaNahuat	drink	xik
1468	Pipil	drink	uni
1469	Pochutec	drink	temí_
1470	ProtoAztecan	drink	ihi
1471	ClassicalNahuatl	dry	waːkki
1472	TetelcingoNahuatl	dry	wahkiː
1473	NorthPueblaNahuatl	dry	wahki
1474	MecayapanNahuat	dry	waːktoʔ
1475	PajapanNahuat	dry	waːktok
1476	JalupaNahuat	dry	waktuk
1477	Pipil	dry	waːktuk
1478	Pochutec	dry	wak
1479	ProtoAztecan	dry	waːk
1480	ClassicalNahuatl	ear	nakastli
1481	TetelcingoNahuatl	ear	nakas
1482	NorthPueblaNahuatl	ear	nakas
1483	MecayapanNahuat	ear	nakas
1484	PajapanNahuat	ear	nagas
1485	JalupaNahuat	ear	nakas
1486	Pipil	ear	nakas
1487	Pochutec	ear	nekést
1488	ProtoAztecan	ear	nakastlɨ
1489	ClassicalNahuatl	earth	tlaːlli
1490	TetelcingoNahuatl	earth	tlöliː
1491	NorthPueblaNahuatl	earth	tlali
1492	MecayapanNahuat	earth	taːhli
1493	PajapanNahuat	earth	taːhli
1494	JalupaNahuat	earth	tahli
1495	Pipil	earth	taːl
1496	Pochutec	earth	tal
1497	ProtoAztecan	earth	tlaːllɨ
1498	ClassicalNahuatl	eat	kwaː
1499	TetelcingoNahuatl	eat	kwa
1500	NorthPueblaNahuatl	eat	kwa
1501	MecayapanNahuat	eat	kwa
1502	PajapanNahuat	eat	baː
1503	JalupaNahuat	eat	bwaː
1504	Pipil	eat	kwa
1505	Pochutec	eat	kwa
1506	ProtoAztecan	eat	kwahaː
1507	ClassicalNahuatl	egg	toːtoltetl
1508	TetelcingoNahuatl	egg	tutoltetl
1509	NorthPueblaNahuatl	egg	totoltetl
1510	MecayapanNahuat	egg	teksis
1511	PajapanNahuat	egg	teksis
1512	JalupaNahuat	egg	piltzin
1513	Pipil	egg	teksisti
1514	Pochutec	egg	titót
1515	ClassicalNahuatl	eye	iːxteloloʔ
1516	TetelcingoNahuatl	eye	ixtelolo
1517	NorthPueblaNahuatl	eye	ixtelolo
1518	MecayapanNahuat	eye	iːx
1519	PajapanNahuat	eye	iːxtololo
1520	JalupaNahuat	eye	iːx
1521	Pipil	eye	iːx
1522	Pochutec	eye	ixtotolút
1523	ProtoAztecan	eye	iːx
1524	ClassicalNahuatl	grease	chiyaːwistli
1525	TetelcingoNahuatl	grease	manteka_
1526	NorthPueblaNahuatl	grease	chiaktli
1527	MecayapanNahuat	grease	tomahka_
1528	PajapanNahuat	grease	mantega_
1529	JalupaNahuat	grease	manteka_
1530	ClassicalNahuatl	feather	ihwitl
1531	TetelcingoNahuatl	feather	tohmitl_
1532	NorthPueblaNahuatl	feather	ihwitl
1533	MecayapanNahuat	feather	tzohmiʔ
1534	PajapanNahuat	feather	tzohmit
1535	JalupaNahuat	feather	iyuhwiyu
1536	Pipil	feather	uhmiyu
1537	ProtoAztecan	feather	ɨ?wɨ
1538	ClassicalNahuatl	fire	tletl
1539	TetelcingoNahuatl	fire	tletzintliː
1540	NorthPueblaNahuatl	fire	tletl
1541	MecayapanNahuat	fire	tiʔti
1542	PajapanNahuat	fire	tit
1543	JalupaNahuat	fire	tit
1544	Pipil	fire	tiːt
1545	Pochutec	fire	tet
1546	ProtoAztecan	fire	tlahitl
1547	ClassicalNahuatl	fish	michin
1548	TetelcingoNahuatl	fish	miːchiː
1549	NorthPueblaNahuatl	fish	michi
1550	MecayapanNahuat	fish	toːpoh
1551	PajapanNahuat	fish	toːpoh
1552	JalupaNahuat	fish	xeːneh
1553	Pipil	fish	michin
1554	Pochutec	fish	michóm
1555	ProtoAztecan	fish	mɨchɨm
1556	ClassicalNahuatl	foot	kxitl
1557	TetelcingoNahuatl	foot	ikxiː
1558	NorthPueblaNahuatl	foot	ikxi
1559	MecayapanNahuat	foot	ikxi
1560	PajapanNahuat	foot	ikxi
1561	JalupaNahuat	foot	ikxi
1562	Pipil	foot	kxi
1563	Pochutec	foot	no
1564	ProtoAztecan	foot	ɨkxɨ
1565	ClassicalNahuatl	full	teːntok
1566	TetelcingoNahuatl	full	tientiːka
1567	NorthPueblaNahuatl	full	tentok
1568	MecayapanNahuat	full	teːntoʔ
1569	PajapanNahuat	full	teːntok
1570	JalupaNahuat	full	neːtik
1571	Pipil	full	teːntuk
1572	ProtoAztecan	full	teːntok
1573	ClassicalNahuatl	give	maka
1574	TetelcingoNahuatl	give	maka
1575	NorthPueblaNahuatl	give	maka
1576	MecayapanNahuat	give	maka
1577	PajapanNahuat	give	maga
1578	JalupaNahuat	give	ma
1579	Pipil	give	maka
1580	Pochutec	give	meká
1581	ProtoAztecan	give	maka
1582	ClassicalNahuatl	good	kwalli
1583	TetelcingoNahuatl	good	kwaliː
1584	NorthPueblaNahuatl	good	kwali
1585	MecayapanNahuat	good	yeːkti
1586	PajapanNahuat	good	yekti
1587	JalupaNahuat	good	yekti
1588	Pipil	good	yeːk
1589	Pochutec	good	ulík_
1590	ProtoAztecan	good	yeːktlɨ
1591	ClassicalNahuatl	good	yektli
1592	ProtoAztecan	good	yeːktlɨ
1593	ClassicalNahuatl	green	xoxoktik
1594	TetelcingoNahuatl	green	xoxoktiːk
1595	NorthPueblaNahuatl	green	xoxoktik
1596	MecayapanNahuat	green	xoxoktiʔ
1597	PajapanNahuat	green	xoxoktik
1598	JalupaNahuat	green	xuxuík
1599	Pipil	green	xuxuwik
1600	Pochutec	green	xwi
1601	ClassicalNahuatl	hair	tzontli
1602	TetelcingoNahuatl	hair	tzontliː
1603	NorthPueblaNahuatl	hair	tzontli
1604	MecayapanNahuat	hair	tzonkal
1605	PajapanNahuat	hair	tzongal
1606	JalupaNahuat	hair	tzunti
1607	Pipil	hair	tzunkal
1608	Pochutec	hair	tzon
1609	ProtoAztecan	hair	tzom
1610	ClassicalNahuatl	hand	maː
1611	TetelcingoNahuatl	hand	mö
1612	NorthPueblaNahuatl	hand	man
1613	MecayapanNahuat	hand	mayiʔ
1614	PajapanNahuat	hand	maː
1615	JalupaNahuat	hand	maːn
1616	Pipil	hand	mey
1617	Pochutec	hand	maí
1618	ProtoAztecan	hand	mah
1619	ClassicalNahuatl	head	kwaːtl
1620	TetelcingoNahuatl	head	tzonteko
1621	NorthPueblaNahuatl	head	tzonteko
1622	MecayapanNahuat	head	tzontekon
1623	PajapanNahuat	head	tzontegon
1624	JalupaNahuat	head	tzuntekon
1625	Pipil	head	tzuntekumat
1626	Pochutec	head	kwaít
1627	ProtoAztecan	head	kwah
1628	ClassicalNahuatl	hear	kak
1629	TetelcingoNahuatl	hear	kakiː
1630	NorthPueblaNahuatl	hear	kaki
1631	MecayapanNahuat	hear	kaki
1632	PajapanNahuat	hear	gagi
1633	JalupaNahuat	hear	kai
1634	Pipil	hear	kaːki
1635	Pochutec	hear	kekí
1636	ProtoAztecan	hear	kaki
1637	ClassicalNahuatl	heart	yoːlli
1638	TetelcingoNahuatl	heart	yulohtliː
1639	NorthPueblaNahuatl	heart	yolo
1640	MecayapanNahuat	heart	yaːlmah_
1641	PajapanNahuat	heart	alma_
1642	JalupaNahuat	heart	yuhlu
1643	Pipil	heart	yul
1644	Pochutec	heart	n
1645	ProtoAztecan	heart	yoːl
1646	ClassicalNahuatl	horn	kwaːkwawtl
1647	NorthPueblaNahuatl	horn	kwakow
1648	MecayapanNahuat	horn	kwaːkwa
1649	PajapanNahuat	horn	baːbaː
1650	JalupaNahuat	horn	kokoit
1651	Pipil	horn	kachoh_
1652	ClassicalNahuatl	kill	mikiːtiaː
1653	TetelcingoNahuatl	kill	miːktiːa
1654	NorthPueblaNahuatl	kill	miktia
